thickness,radius,length,exp_index,pressure,mesh_length,youngs_modulus,poisson_ratio,tensile_strength,density,body_area,body_volume,body_mass,outer_area,outer_volume,inner_area,inner_volume,node_count,edge_count,face_count,volume_count,vonmises_stress,tresca_stress,max_displacement,has_failed
0.01,0.37127551323596814,2.0,4101.0,69.44574,0.05,68900.0,0.33,276.0,2700.0,12.577888065802078,0.06288734593390882,169.79583402155382,6.397803424435713,1.0804855375094224,6.180084641366365,1.0175981915755137,40695,314,13486,20460,2716.1877344666923,1544.501304418774,0.0180371447616324,True
0.02,0.7122888365853869,2.0,4102.0,69.44574,0.1,68900.0,0.33,276.0,2700.0,30.048666371298573,0.30046990855216554,811.268753090847,15.326501327770057,4.70156790368847,14.722165043528516,4.401097995136304,23670,264,7856,11880,2618.7077128123,1491.274662206801,0.02485087414889263,True
0.03,0.6753992502658597,2.0,4103.0,69.44574,0.1,68900.0,0.33,276.0,2700.0,27.564369631530955,0.4134089958052018,1116.2042886740448,14.219645026949438,4.156700485990823,13.344724604581517,3.7432914901856216,22190,252,7294,11243,1758.0485870162079,1002.1437090217939,0.01505622741053017,True
0.04,0.4244924157126298,2.0,4104.0,69.44574,0.1,68900.0,0.33,276.0,2700.0,14.288127507379162,0.2856285088610302,771.1969739247816,7.598711230238457,1.4525954640436922,6.689416277140705,1.166966955182662,11761,172,3860,5965,775.0066298299965,443.26068551156993,0.005705994661628666,True
0.05,0.6436657845408955,2.0,4105.0,69.44574,0.1,68900.0,0.33,276.0,2700.0,25.183965211157158,0.6293373308911292,1699.2107934060489,13.294861047685766,3.720202096767386,11.889104163471393,3.090864765876257,20699,240,6802,10490,1019.7290435150235,582.4152913839215,0.008284078718077225,True
0.06000000000000001,0.7406621181481109,2.0,4106.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,30.576562453769583,0.9168444842709692,2475.480107531617,16.201098958809645,5.14879080407707,14.375463494959938,4.2319463198061005,6174,136,2028,3126,841.363398315538,480.177296788486,0.008816447900520935,True
0.06999999999999999,0.533440576887708,2.0,4107.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,18.80201949226056,0.6573523047089994,1774.8512227142985,10.279283948921265,2.423774379737167,8.522735543339294,1.7664220750281676,4018,102,1316,2038,525.2934773388354,303.21141867555576,0.004855148892959308,True
0.08,0.4661969546865928,2.0,4108.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,15.316917892241149,0.6116043853972203,1651.3318405724947,8.589573681679177,1.790006025785287,6.727344210561972,1.1784016403880666,3439,92,1120,1753,408.0578567307831,235.1655045799128,0.003388981580263703,True
0.09,0.4602285099249012,2.0,4109.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,14.8199789192569,0.6653722373369142,1796.5050408096683,8.44508851835741,1.7391712508869783,6.37489040089949,1.0737990135500641,3196,88,1046,1621,360.9114299956215,208.35506501708596,0.0029884232654127886,True
0.09999999999999999,0.6685747252609497,2.0,4110.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,25.225969020970265,1.2592040559461193,3399.8509510545223,14.01862696623354,4.0603447550302905,11.207342054736724,2.801140699084171,5204,120,1710,2633,484.3801626255559,278.4971810525848,0.0044466319382699265,True
0.11,0.696723857282072,2.0,4111.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,26.554208012929923,1.45769380082986,3935.7732622406224,14.855309770749804,4.4666861689118535,11.69889824218012,3.0089923680819934,2719,86,888,1381,444.2401675952511,256.45805748302496,0.004309311708913784,True
0.12,0.4586333627483695,2.0,4112.0,69.44574,0.2,68900.0,0.33,276.0,2700.0,14.103034684142782,0.8425629663116317,2274.9200090414056,8.406624527998257,1.7257307781449909,5.696410156144525,0.8831678118333591,3087,86,1012,1563,274.2287805816135,158.08503411038197,0.0022843925442401153,False
0.13,0.5961223494351369,2.0,4113.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,20.544465251893588,1.3307888553331257,3593.1299093994394,11.956703152874384,3.1201541213916504,8.587762099019203,1.7893652660585246,2203,74,722,1114,330.5132928011361,190.81689224008161,0.0029808205457217056,True
0.14,0.7855907619972576,2.0,4114.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,30.977634164749713,2.162687371371512,5839.255902703082,17.62739604666569,5.908535060807737,13.350238118084022,3.7458476894362254,3042,94,1000,1536,390.69547233839404,225.54408124633423,0.004078433417404285,True
0.15000000000000002,0.7761217894613273,2.0,4115.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,30.117030105106597,2.2517086744123853,6079.613420913441,17.322576286456272,5.743066674875864,12.794453818650325,3.491358000463479,3077,94,1010,1556,362.401350383858,209.23206790075858,0.003749477683941518,True
0.16,0.5642330506171259,2.0,4116.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,18.224120064141914,1.4493509627919516,3913.2475995382692,11.090977997663941,2.752734845106226,7.133142066477973,1.3033838823142745,1890,68,614,963,263.15329265284055,151.92834561969252,0.0022908422404340424,False
0.17,0.5403236853887554,2.0,4117.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,16.83562774366511,1.4207385950731313,3835.9942066974545,10.458655624668113,2.495144440836995,6.3769721189969975,1.0744058457638639,1709,64,560,863,233.3376846220826,134.17225085667107,0.002051313245645289,False
0.18000000000000002,0.6382447933387931,2.0,4118.0,69.44574,0.3,68900.0,0.33,276.0,2700.0,21.53667690401821,1.9260864091244847,5200.433304636109,13.13941231418928,3.6485524487557988,8.397264589828932,1.722466039631314,2294,76,746,1169,259.32645893538756,149.7174335200281,0.0024144150476582823,False
