thickness,radius,length,exp_index,pressure,mesh_length,youngs_modulus,poisson_ratio,tensile_strength,density,body_area,body_volume,body_mass,outer_area,outer_volume,inner_area,inner_volume,node_count,edge_count,face_count,volume_count,vonmises_stress,tresca_stress,max_displacement,has_failed
0.01,0.6373008625579288,1.2,1.0,3.01938,0.08,68900.0,0.33,276.0,2700.0,19.58368073748977,0.0979163092923461,264.37403508933454,9.908996750374785,2.615390203831444,9.674683987114992,2.5174738945390978,24333,284,8104,12171,188.67332069274104,108.4539542391858,0.001616247361359,False
0.02,0.4848995430934149,1.2,2.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,12.83200614363784,0.1283033062755602,346.41892694401275,6.610756568767109,1.3639876279543153,6.22124957487073,1.235684321678755,10552,178,3496,5302,70.29463239477394,40.00988577132959,0.0004859887557917,False
0.03,0.6493986366386801,1.2,3.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,19.687124934597485,0.2952503253511979,797.1758784482342,10.195822454385349,2.7369982758668248,9.491302480212136,2.441747950515627,15700,226,5176,7930,71.55758916065258,40.74074933241536,0.000551286601954,False
0.04,0.5028305975421095,1.2,4.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,13.15004697393606,0.2628668981921684,709.7406251188548,6.968517063647006,1.485720900699475,6.181529910289054,1.2228540025073065,10797,180,3548,5469,41.65439387050076,23.75609421961353,0.0002567269824667,False
0.05,0.6878073853362378,1.2,5.0,3.01938,0.2,68900.0,0.33,276.0,2700.0,21.05176364580428,0.5260322917573055,1420.2871877447249,11.130831544621005,3.146444650644352,9.920932101183276,2.6204123588870463,4444,120,1468,2236,39.58948682664254,22.83738294201527,0.0003650803527206,False
0.06,0.4425105843737184,1.2,6.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,10.519844994142508,0.3151429604821577,850.8859933018257,5.797142821264878,1.1011681810640894,4.7227021728776295,0.7860252205819318,8552,156,2810,4331,23.59078361213462,13.52713649350298,0.0001348065047262,False
0.0699999999999999,0.374216260924937,1.2,7.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,8.03801432786648,0.2806121239552062,757.6527346790567,4.581291154558778,0.7474412506628859,3.4567231733077017,0.4668291267076797,6850,134,2238,3487,16.00955101279134,9.212240660608757,9.12662896250356e-05,False
0.08,0.6130584056615125,1.2,8.0,3.01938,0.2,68900.0,0.33,276.0,2700.0,16.935219644598913,0.6763364554915307,1826.1084298271328,9.345303861781384,2.3820342667927195,7.589915782817529,1.7056978113011887,3649,106,1200,1843,22.83652049875472,13.182805719969496,0.0001806097996316,False
0.09,0.6145085877144392,1.2,9.0,3.01938,0.2,68900.0,0.33,276.0,2700.0,16.790435059837698,0.7540427636630533,2035.915461890244,9.37860857482174,2.3956108012933552,7.411826485015958,1.641568037630302,3647,106,1200,1841,20.484517052898244,11.821592320304749,0.0001606761841053,False
0.0999999999999999,0.4879245453886726,1.2,10.0,3.01938,0.2,68900.0,0.33,276.0,2700.0,11.486482940669722,0.5722297519310936,1545.0203302139528,6.670544802613519,1.3840755535462033,4.815938138056203,0.8118458016151097,2678,86,876,1358,15.014846244594157,8.667577822204883,9.472525377542592e-05,False
